Name,Team,Number,Position,Height,Age,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,74,25,180,Texas,7730337
Jae Crowder,Boston Celtics,99,SF,78,25,235,Marquette,6796117
John Holland,Boston Celtics,30,SG,77,27,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,77,22,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,82,29,231,,5000000
Amir Johnson,Boston Celtics,90,PF,81,29,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,80,21,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,85,25,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,74,22,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,76,22,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,7,C,81,24,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,4,PG,69,27,185,Washington,6912869
Evan Turner,Boston Celtics,11,SG,79,27,220,Ohio State,3425510
James Young,Boston Celtics,13,SG,78,20,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,44,C,85,26,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,80,27,216,,3425510
Markel Brown,Brooklyn Nets,22,SG,75,24,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,76,28,200,North Carolina,1500000
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,79,21,220,Arizona,1335480
Jarrett Jack,Brooklyn Nets,2,PG,75,32,200,Georgia Tech,6300000
Sergey Karasev,Brooklyn Nets,10,SG,79,22,208,,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,76,26,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,0,PG,71,23,175,Miami (FL),1500000
Brook Lopez,Brooklyn Nets,11,C,85,28,275,Stanford,19689000
Chris McCullough,Brooklyn Nets,1,PF,83,21,200,Syracuse,1140240
Willie Reed,Brooklyn Nets,33,PF,82,26,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,41,PF,82,25,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,82,26,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,75,28,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,80,27,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,4,SG,77,30,210,UCLA,8000000
Lou Amundson,New York Knicks,17,PF,81,33,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,79,23,205,,30888
Carmelo Anthony,New York Knicks,7,SF,80,32,240,Syracuse,22875000
Jose Calderon,New York Knicks,3,PG,75,34,200,,7402812
Cleanthony Early,New York Knicks,11,SF,80,25,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,74,24,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,76,23,195,Notre Dame,1572360
Robin Lopez,New York Knicks,8,C,85,28,255,Stanford,12650000
Kyle O'Quinn,New York Knicks,9,PF,82,26,250,Norfolk State,3750000
Kristaps Porzingis,New York Knicks,6,PF,87,20,240,,4131720
Kevin Seraphin,New York Knicks,1,C,82,26,278,,2814000
Lance Thomas,New York Knicks,42,SF,80,28,235,Duke,1636842
Sasha Vujacic,New York Knicks,18,SG,79,32,195,,947276
Derrick Williams,New York Knicks,23,PF,80,25,240,Arizona,4000000
Tony Wroten,New York Knicks,5,SG,78,23,205,Washington,167406
Elton Brand,Philadelphia 76ers,42,PF,81,37,254,Duke,
Isaiah Canaan,Philadelphia 76ers,0,PG,73,25,201,Murray State,947276
Robert Covington,Philadelphia 76ers,33,SF,81,25,215,Tennessee State,1000000
Joel Embiid,Philadelphia 76ers,21,C,85,22,250,Kansas,4626960
Jerami Grant,Philadelphia 76ers,39,SF,80,22,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,22,PF,82,22,245,Bowling Green,1074169
Carl Landry,Philadelphia 76ers,7,PF,81,32,248,Purdue,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,76,24,200,North Carolina,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,74,24,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,4,PF,83,22,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,83,20,275,Duke,4582680
Ish Smith,Philadelphia 76ers,1,PG,73,27,175,Wake Forest,947276
